"","osk_d7-b_c11","osk_d7-b_c13","osk_d7-b_c17","osk_d7-b_c22","osk_d7-b_c23","osk_d7-b_c24","osk_d7-b_c30","osk_d7-b_c31","osk_d7-b_c37","osk_d7-b_c38","osk_d7-b_c39","osk_d7-b_c40","osk_d7-b_c41","osk_d7-b_c45","osk_d7-b_c48","osk_d7-b_c57","osk_d7-b_c62","osk_d7-b_c64","osk_d7-b_c67","osk_d7-b_c72","osk_d7-b_c74","osk_d7-b_c75","osk_d7-b_c82","osk_d7-b_c84","osk_d7-b_c86","osk_d7-b_c89","osk_d7-b_c92","osk_d7-b_c93","osk_d7-b_c94","osk_d7-b_c95","osk_d7-b_c96","osk_d7_c01","osk_d7_c04","osk_d7_c05","osk_d7_c07","osk_d7_c09","osk_d7_c11","osk_d7_c15","osk_d7_c26","osk_d7_c29","osk_d7_c30","osk_d7_c31","osk_d7_c33","osk_d7_c36","osk_d7_c39","osk_d7_c41","osk_d7_c44","osk_d7_c45","osk_d7_c49","osk_d7_c51","osk_d7_c53","osk_d7_c56","osk_d7_c57","osk_d7_c58","osk_d7_c60","osk_d7_c61","osk_d7_c62","osk_d7_c63","osk_d7_c64","osk_d7_c65","osk_d7_c66","osk_d7_c68","osk_d7_c71","osk_d7_c72","osk_d7_c73","osk_d7_c74","osk_d7_c75","osk_d7_c76","osk_d7_c77","osk_d7_c78","osk_d7_c80","osk_d7_c81","osk_d7_c82","osk_d7_c83","osk_d7_c85","osk_d7_c86","osk_d7_c91","osk_d7_c93"
"Hoxb6",10.61,0,20.41,0,0,0,0,0.76,0,0,0,0,0,1.84,0,7.46,0.55,7.81,0,0,0,0,0,8.37,0,22.7,0,0,0,22.77,0,0,26.02,0,5.75,0,0,0,1.61,7.39,0,0,8.25,0,0,0,0,0,0.25,0,0,0,3.73,0,0,3.1,12.11,0,0,2.68,0,0,53.4,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Btn1a1",2.35,0,0,0,0,0,55.17,0,9.97,0,0,19.56,0,6.77,16.61,0,0,14.84,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,0,0,0,0,0.4,0.87,17.21,0,0,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kat2b",71.31,0,0,28.13,0.16,0,57.93,154.51,0,17.1,0,83.87,40.26,2.51,16.08,2.9,0,7.07,66.3,0.38,0.75,0,104.69,14.17,20.22,0,54.03,0,19.33,477.6,14.34,0.84,17.42,16.91,29.55,5.2,163.51,51.08,103.12,0.16,0,435.32,57.17,3.67,0,21.01,0.13,44.65,56.2,161.42,24.05,38.02,100.84,0,24.44,0.23,10.52,72.65,30.57,1.7,0,18.77,62.31,20.73,106.23,0,0,3.89,64.77,23.59,28.94,58.15,25.18,0.21,8.51,0.73,23.03,0
"Rab5b",98.23,0.27,72.53,63.86,53.38,3.15,0,10.38,0,108.82,25.6,0,53.06,2.76,33.85,5.92,3.34,0,21.01,0.28,0.9,24.57,2.1,3.74,3.38,18.67,0,0.57,0,0,52.95,0,32.87,0,7.35,6.23,1.89,0,3.74,3.79,57.39,163.94,18.65,7.43,59.11,1.73,0.2,113.76,0,3.18,44.02,7.06,3.68,1.28,10.18,1.18,0.44,29.27,0,3.23,4.02,31.74,0,27.52,132.28,0,0.52,0,8.11,0,0.2,7.41,0.44,0.64,3.49,0,5.19,0
"Spg7",0,0,5.99,0,96.59,0,0,15.33,0,3.46,0,0,0,1.82,5.02,0,1.61,5.68,14.91,0,0.91,0,0,3.41,0,70.33,0,6.41,0,7.5,1.43,11.33,0,0,65.1,0,26.38,2.55,0,2.78,0.21,0,0,0,4.08,0.23,152.91,0,0,0.3,0,0.25,0,0,36.25,0,0,0.19,0,0.16,0,0.24,54.53,45.48,0,1.45,0,0,0,0,16.46,73.02,13.84,0,0,0,33.67,19.52
"Chmp1a",7.14,0,6.19,37.86,26.95,463.5,31.97,366.58,0,170.85,92.72,29.82,0,85.37,0,213.45,93.31,0,1.11,7.8,25.89,19.58,19.8,64.74,0,41.74,53.05,100.61,0.51,290.28,34.82,4.55,0,104.29,0,86.5,89.83,0,2.53,0,0,0,51.63,26.92,143.99,153.04,0,0,9.9,1.21,0,99.82,20.82,17.35,41.85,0,329.61,34.01,0,0,23.83,0,81.16,22.4,41.33,145.15,0,25.31,23.3,124.87,41.61,11.28,42.19,0,25,0.66,106.33,0
"Tubgcp3",0,0,0,1.14,45.14,0,0,0,0,0.55,0,0,0,0.19,0,0,0,0,0,0,0.56,0,29.01,0,0,0,0,18.06,0,0,0,0.08,76.75,19.19,0,159.96,103.13,0.29,1.01,0.38,0,0.12,0,0,84.95,43.28,2.99,0,0,0,0.14,34.76,2.65,0.08,16.11,81.86,0.18,4.98,15.05,0.09,0.08,0,0,0.36,9.9,0,0,0,5.65,70.21,0,36.84,1.48,5.09,0,0,57.98,0.17
"Polr3d",0.36,0,1.42,0,0,0,0,5.18,0.49,0,0,0,0,0.38,1.58,0,1.37,0.6,3.56,0,4.05,0,0,0,0,0,0,14.08,0,0,12.65,0,0.34,14.18,0,7.04,0,0,10.76,2.69,0,0,147.78,0.42,11.13,41.21,2.59,0,43.18,1.29,2.17,4.49,0.33,0,7.84,0,0,35.63,0,0,98.22,0,2.6,5.35,82.34,97.54,0,3.51,0,0.38,0,0,3.96,0.51,8.08,0,3.89,7.63
"Tcf7",0,0,40.39,0,0,0,0,1.51,0,0,16.49,0,46.4,0,0,219.71,3.27,0,0,0,0,0,7.07,0,0,0,330.4,0.25,0,0,1.73,0.82,0,48.44,0,0,0,160.39,17.03,0,0,0,0,3.67,0.36,0.32,14.07,0,0,11.81,16.3,0,10.9,0,0,0.22,0,56.31,14.59,0,0,0,10.43,9.45,108.64,0,5.56,18,0,6.75,5.46,0,0,0,19.47,0,0,0
"Ddx3x",43.12,59.99,11.64,78.6,81.81,38.98,70.87,130.82,26.21,16.95,96.94,3.95,44.25,24.24,66.52,28.59,53.95,55.14,86.27,0,6.86,0.24,116.45,135.31,17.99,53.57,0,91.35,2.64,126.6,67.28,115.12,115.41,1.82,35.7,10.4,72.68,87.3,104.54,42.09,307.75,0,122.75,110.58,29.54,28.03,83.47,9.67,222.92,31.22,59.93,50.99,158.54,54.01,94.49,75.16,60.72,176.4,1.4,134.47,297.39,355.87,157.45,160.59,108,99.07,13.68,32.3,56.26,73.13,86.06,20.85,150.32,238.32,162.66,6.09,71.73,254.66
"Usp32",0.1,0,50.26,294.85,6.78,0,17.51,5.74,0,0,9.53,0,0,32.53,0,0,7.58,0,1.57,67.35,118.82,2.78,98.28,49.85,0,7.17,11.33,0.08,0,2.58,7.45,9.66,0.55,26.51,0,4.01,0,19.45,2.99,45.3,0,0,0,29.71,0,0.43,0.26,12.38,2.37,18.11,0.07,2.49,61.73,0,15.34,24.89,13.2,1.69,0.07,9.56,39.16,6.14,0.12,2.3,0,0,8.43,0,10.16,51.43,0.26,0,0,14.71,11.1,0,26.72,26.07
"Znf512b",188.2,111.35,0,0.2,120.97,121.28,0,0,0,70.23,66.83,41.43,0,54.99,14.07,0,83.65,0,33.19,0,108.96,38.32,0.86,0.24,0,29.45,0,85.29,0,0,54.63,32.18,0.13,77.42,185.72,4.31,0,0,0,0,117.56,0.13,0,17.28,0.16,52.47,3.13,0.81,49.19,0,0,0.88,0.12,0,0,0,0,0,6.02,65.14,133.51,0,2.01,36.54,96.8,0,0,95.91,109.02,89.01,11.36,126.12,25.67,25.75,0,47.4,49.62,153.69
"Dnajc5",129.26,9.5,52.93,155.59,55.92,66.57,1.71,0,28.67,15.11,23.16,23.94,144.66,11.93,52.05,27.79,33.22,37.1,37.18,40.6,20.49,1.16,19.37,0,0,2.52,142.66,75.14,22.62,57.92,55.68,0.74,35.68,0.86,95.67,14.61,89.2,0.89,0,25.4,95.31,0,8.09,69.2,8.5,30.72,1.41,0.95,43.24,46.52,50.69,21.87,30.11,46.46,38.94,2.76,64.03,44.07,16.52,3.2,38.16,31.36,4.5,13.5,45.96,31.6,9.78,39.92,28.43,18.8,19.37,20.17,42.57,17.97,67.54,32.26,33.92,1.57
"Tpd52l2",1356.6,1197.02,181.24,15.62,0.79,436.39,96.27,249.91,946.93,572.22,548.72,771.81,1299.07,595.27,321.03,51.7,317.43,644.41,390.54,566.15,244.11,34.46,320.74,72.65,1398.49,711.51,1.32,353.69,496.67,670.56,333.68,386.32,59.35,390.51,507.98,544.84,0,179.73,357.84,167.57,403.33,1558.98,268.7,634.36,587.19,224.43,70.73,578.61,12.78,624.52,380.18,296.61,113.14,281.32,21.54,171.68,0,240.05,298.16,16.55,1.43,2.19,211.02,735.11,105.16,197.48,220.95,125.85,124.9,536.66,258.73,224.27,240.12,290.28,212.16,444.81,196.7,735.58
"Pxmp4",0,1.95,188.3,38.52,242.05,1.45,1.31,1.68,18.06,119.47,126.66,0,0.1,15.25,15.66,1.11,1,80.22,17.5,0,1.05,2.9,1.82,0,0,96.61,0.28,5.01,0,3.67,6.33,15.36,1.61,16.03,55.61,37.3,2.33,5.52,11.88,4.2,1.97,3.03,3.48,53.04,7.87,3.1,50.6,0.14,2.61,1.15,59.06,7.62,1.97,1.26,95.65,2.29,55.14,23.07,2.55,20.44,168.12,1,2.71,79.45,79.6,0.7,22.91,4.07,1.41,4.06,2.57,52.84,0,1.97,1.03,0.71,2.1,3.12
"Dlg3",0,0,0,127.67,0.16,0,0.22,275.65,0,5.91,0,0,0,2.31,3.99,0,34.95,0,0,0,0.86,0,78.91,2.37,0,0,0,0.91,5.39,1.89,9.11,0,0,0.15,29.63,0,0,0,0,0.68,0,0,0,6.33,0,0,0,0,0,0,3.65,9.76,0,0,0,3.41,0,0,0,0,0,0,48.32,0,0,9.46,0,45.54,1.76,0,0,4.19,0,2.12,35.41,0,0,0
"Gnb1l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,83.58,0,0,0,0,0.14,8.27,0,6.16,0,20.65,0,0,0,0,0,0,0,36.81,0,0,0,17.62,0,0,0,0,129.59,0,0,0,0,0,0,0,0,0,0,0.19,72.08,0,24.92,0,0,1.57,0,25.41,0,0,0,1.43,0
"Mmp11",25.32,0,2.26,0,0,0,0,0,0,43.18,0,0,5.84,0,0,0,0,0,2.88,0,1.04,0,0,0,0,0,0,0,0,0,0,8.05,0,0,1.8,0,0,0,0,0,0,0,4.47,7.62,0,0,0,0,0,0,0,0,0,20.56,30.13,0,0,0,0,6.41,0,0,0,0,0,144.89,8.47,0,0,0,0,0,0,0,0,0,0,0
"Hip1r",0,0,0,2.72,0,0.28,0,0.41,0,0,0,0,0,4.68,3.19,0,0,3.89,0,10.05,8.45,0,0,0,0,0,0,0,45.26,0,0,2.57,0,0,0,0,0,0,0,0,0,0,0.93,2.36,0,10.95,0,97.87,3.98,0,0,0,0,0,1.31,0,4.08,0,0,24.73,0,0.14,0,0.16,6.57,0,0,0.15,0.66,0.17,3.1,0,0,0,44.88,37.28,6.8,0
"Nsun5",1.75,0,166.92,0,19.36,0,0,0,19.32,0,0,35.29,0,0,32.86,0,34.55,0,0.6,0,30.5,4.77,35.47,0,0,0,0,0,0,0,79.23,13.85,2.55,1.84,0,0,0.26,0,11.33,12.62,2.27,0,59.45,0,4.08,17.52,0,0,0,152.97,0,2.8,75.73,3.99,14.97,0,0,0,0,0,0,0,56.46,0.39,0,77.87,12.95,0,8.39,0.63,0,5.22,0,0,13.81,15.87,1.32,0
"Top1mt",0,0,0,0,0,1.38,0,0,0,10.84,0,0,0,0,0,0,26.59,0,0,0,0,0,0,0,373.89,28.56,0,0,0,0,0,2.72,0,0,5.93,0,0,0,1.07,0,0,0,0,13.76,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0
"Hoxa10",0,0,0,0,0,274.78,0,0,61.24,0,0,0,0,8.93,0,0,78.91,0,0.71,0,4.75,0,0,0,0,0.77,547.79,14.83,0,0,0,0,0,0,0,3.29,0,0.68,0,1.84,0,29.95,0.51,0,0,18.21,0,245.57,0,6.43,0.33,22.44,0,1.88,3.4,0,0,0,10.06,0,0,53.68,0,0,0,2.44,680.21,13.47,0,0,2.72,0,89.63,232.97,308.1,0,11.48,0
"Snrpn",268.77,6.36,485.88,2.49,386.9,1.02,0,107.05,188.01,23.47,242.76,40.75,63.6,219.62,82.74,77.26,283.88,4.31,163.66,163.17,82.79,174.45,197.02,0,45.73,2.38,94.38,159.07,53.76,5.54,297.12,216.85,122.16,352.28,0.61,128.2,174.86,189.08,173.43,214.09,11.88,0.69,2.68,331.3,439.97,273.84,115.22,156.72,93.35,262.19,237.64,128.22,2.31,107.59,0,435.29,129.69,371.7,279.87,473.89,29.39,14.84,190.56,319.79,209.67,119.27,3.65,274.82,102.98,202.67,171.76,42.55,486.01,17.47,145.8,144.81,217.53,63.49
"Mmp14",0.55,0.33,25.39,6.04,0,0,1.14,0.36,0,2.75,123.75,127.53,0,15.39,42.73,5.02,97.93,0.45,1.35,0,117.66,0,6.33,4.11,20.96,29.39,0,8.72,0,0,0,27.4,12.2,1.7,60.5,9.45,0,0,31.28,0,0,0,0,19.93,44.08,32.99,29.72,0,92.29,0,4.94,0,5.8,14.5,1.49,0,150.67,0,0,4.41,0,0,9.56,0.54,0,6.08,124.04,0,14.31,0.58,0.25,0,86.33,0.39,0.31,0,7.15,0.74
"Slc7a7",24.46,1.65,1.32,7.37,0,0,0,241.9,0,0,0,0,0,0,0.99,0,0,51.63,77.25,0,8.28,0,0,0,0,4.17,0,16.52,0,0,0,5.31,0,79.54,0,0,0,16.66,0,0,0,192.62,0,0,1.31,0,0,0,26.15,0,0,48.13,0.31,10.01,0,57.13,1.84,46.36,0,0,0,41.07,0,16.5,129.28,0,0,0,8.33,0,10.96,0,0,0,0,0,18.92,0.47
"Oxa1l",19.21,69.81,0.74,1.4,7.78,709.16,0,3.32,19.92,78.11,57.81,1.39,45.89,1.46,2.05,50.76,3.72,69.97,37.61,254.55,0,158.73,16.82,21.64,250.05,2.47,21.24,2.73,1.27,2.52,90.94,22.11,14.52,257.69,0,17.77,0,4.02,20.79,131.22,0,1.62,31.33,116.28,44.86,31.67,193.22,19.04,1.44,0,6.56,105.49,123.48,137.45,13.76,0,39.03,76.94,2.69,4.74,192.91,78.78,15.9,54.26,205.69,0,174.02,33.4,23.92,66.03,76.86,52.56,55.43,2.42,10.11,1.11,53.55,9.47
"Heatr6",4.62,3.3,0,0.8,267.88,11.2,0,3.41,167.32,1.93,3.84,40.27,5.61,12.44,4.23,0.72,0.11,0,0,68.68,3.81,0,3.95,0,0,53.91,0,10.74,160.25,26.93,31.87,2.08,29.64,72.18,0.4,0,0,12.81,0.11,50.02,162.4,0.12,43.75,26.99,33.27,9.32,0,4.2,0.5,5.52,17.39,4.08,8.97,0,41.13,14.85,6.91,19.84,10.72,0,0.08,0,20.58,9.1,0.23,5.59,0.02,7.59,0.13,25.57,12.51,23.75,15.87,1.6,60.39,50.35,50.34,0
"Chtop",7.34,0,10.59,0,0.44,5.71,0,8.4,484.47,30.73,64.64,2.96,35.86,3.66,79.26,0,20.41,0,30.18,17.18,2.04,49.15,3.32,0,0,0,191.18,7.59,0,35.03,1.9,62.36,61.65,61.3,11.42,178.41,32.58,32.48,0,29.28,0,0,4.88,50.7,111.27,49.48,6.08,9.83,7.35,0,3.8,42.13,0,36.63,0,0,0,7.08,13.88,0,0,90.38,0,55.9,8.44,20.22,87.06,65.12,14.84,95.13,19.73,73.88,0.79,1.14,0,0,22.33,0.77
"Snapin",6.97,0,75.22,101.08,112.72,0,0,422.97,395.64,99.94,60.97,49.85,0,25.99,116.2,63.06,11.3,0,0.62,8.18,2.91,0,0.54,0,131.46,36.86,0,328.98,7.14,114.19,1.15,17.47,0,6.69,2.85,24.01,121.29,0,0,43.63,200.05,0,0,4.08,21.81,18.71,234.5,0.37,36.3,163.21,65.74,20.47,0,33.9,173.56,0,0,86.38,0.41,9.88,0,0,30.37,21.46,69.81,0,0,0,8.13,0,46.62,40.14,66.44,0,9.78,129.68,122.78,2.73
"S100a4",0,0,0,0,2.43,234.54,31.94,0,18.7,201.97,1016.88,0,0,0,26.68,0,849.71,52.75,655.41,0,659.9,617.56,0,4.08,0,516.05,0,324.73,0,0,0,7.21,189.86,0,0,0,5.95,101.59,0,0,0,0,0,0,0,8.86,14.22,0,0,6,0,0,0,0,0,0,0,31.04,0,0,0,0,124.51,0,0,0,0,0,0,0,0,0,0,0,0,54.8,0,0
"S100a3",0,0,0,0,4.25,0,0,169.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.04,296.77,0,0,0,0,0,0,0,0,0,0,0,0,54.12,0,0,0,0,0,0,0,0,10.6,0,0,10.41,0,0,0,0,0,125.07,107.36,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100a6",79.29,174.6,0,1345.56,2415.61,419.03,542.04,3778.07,19.34,2540.32,1244.98,687.31,1701.54,130.12,784.41,522.61,3561.61,473.35,1531.52,899.35,3135.03,1243.47,2265.11,471.64,336.61,1225.11,1918.3,2151.86,571.11,830.2,522.81,157.55,8321.56,70.6,1241.14,468.26,1264.92,170.24,829.61,186.89,1835.58,0,59.68,554.33,56.18,551.76,1134.32,0,165.91,62.76,768.58,0,0,235.34,2012.79,708.42,0,377.7,372.59,88.39,0,200.55,143.4,730.27,299.26,779.14,424.74,726.39,0,244.91,404.33,413.7,3377.88,25.66,0,187.69,146.29,532.68
"Mapk7",0,0,0,0,0,0,0,41.58,0,0,0,0.29,22.83,8.71,25.63,0,0,0,0,104.65,7.6,18.73,0,0,0,0,0,0,0,0.7,0,13.24,0.21,0.16,0,160.89,0,0,0,0,6.16,0,0,3.93,0,0.78,23.1,0,0,0,0,17.19,0,0,17.44,0,0,16.32,0,16.46,21.06,13.82,6.43,3.24,7.25,0,0,0,0,0,15.52,0,0,0,63.6,0,0,0
"Epn2",0,112.85,9.46,0,0,0,0,49.31,0,144.98,13.66,0,67.35,66.36,0,0,5.09,29.56,8.26,0.62,140.3,53,0,0,3.08,17.4,0,16.47,0,0,0.44,0,6.13,0,6.09,169.44,0,86.19,1.08,42.9,10.47,2.89,45.97,33.4,0.82,8.74,44.03,0,0,5.06,6.14,21.98,4.54,3.68,0,66.54,0,0,0,4.4,4.81,151.87,0,5.89,14.35,0,0,135.92,0.69,29.11,4.97,63.54,86.79,8.37,13.71,0.16,40.08,0
"B9d1",0,113.51,0,0,123.55,111.36,0,0,0,0,7.63,0,0,85.17,42.55,0,0,78.65,7.05,0,0,409.85,4.4,0,224.8,0,301.3,99.51,2.19,0,0,0,90.73,232.9,0,228.33,0,0,0,26.48,0,0,125.63,76.49,42.77,81.79,89.75,381.86,199.46,46.34,23.4,38.73,519.35,2.17,235.5,29.01,0,138.88,21.38,180.6,47.72,122.75,92.29,174.69,260.15,155.85,0,123.03,0,44.11,164.32,42.17,0,196.47,0,0,33.54,536.96
"Sec24b",0.13,0.16,0,141.69,0,0,0,0.35,0,0,2.56,0,0,3.17,1.77,0,88.56,105.42,21.19,135.31,60.37,0,0,0,0,0,73.12,7.57,6.35,0,11.87,105.91,25.4,0.09,6.44,493.86,0,7.97,13.11,0,0,0,154.83,67.75,0,1.21,135.06,0,2.56,4.61,4.13,14.48,0,30,11.79,0.51,3.7,28.79,20.24,52.38,0,165.57,68.82,84.05,0,203.73,0,21.66,15.06,0.28,0,1.84,0,76.19,0,14.15,1.2,3.18
"Rmnd5b",0,0,54.01,0,0,0,0,91.67,0,13.97,0,0,0,17.66,19.23,0,0,0,2.72,0,7.67,0,9.15,0,0,0,0,45.02,0,0,0,13.55,4.3,3.36,2.69,0,13.86,1.47,0.7,0,32.59,0,0,121.66,173.52,30.44,0,0,114.52,0,0,33.87,12.76,0,50.99,2.57,0,15.59,47.14,9.2,0,0,8.1,8.9,0,0,11.33,0,0,0,14.83,8.61,0.37,0,0,55.6,8.09,0
"Vps9d1",0.9,36.88,0,0,0,0,0,0.65,0,0.57,1.25,0,0.03,0,0.38,0,1.68,0.93,0,1.45,0,0,0.78,1.05,0,0,7.88,0.98,0,22.53,0.81,6.93,3.39,0.75,0.89,0.69,3.11,1,0,1.57,1.55,0,5.14,2.44,1.98,20.81,1.02,0,1.52,4.24,0,0,5.93,158.04,0,2.1,0,13.54,0,1.53,1.89,0,0,1.36,0.24,0.52,3.62,0.55,2.62,2.38,0.85,0.56,0,4.56,1.37,0,0,0
"Zfp276",0,0,0,0,0.94,6.37,0,0.22,0,0,0,0.21,0,0,157.05,0,0,30.32,0,0,0,0,30.6,0,0,0.6,0,0,0,0,0,0.45,0.16,26.37,0,0,0,0,0,0.36,0.34,0,0.6,0,0,0,0,0,0,0.83,0,0.13,0,42.18,0,0.26,0,0.21,0,0.15,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,39.03,0,0,0
"Luzp1",5.1,0,50.52,0,0,0,0,71.96,0,1.29,68.89,52.43,13.18,118.21,13.65,44.44,0.09,0,0.88,1.05,40.57,0,5.6,0,0,0,0.41,5.01,0,18.3,61.73,25.72,0,8.48,118.23,1.19,22.53,6.19,0.09,12.07,148.5,428.86,142.52,20.6,0,49.4,3.12,0,11.77,178.02,2.98,7.35,0.68,0,16.8,6.93,175.07,89.9,0,74.1,35.54,0,5.72,18.94,0.17,13.85,0.55,0,30.87,61.08,0.65,0,0,0,35.32,84.73,5.23,0.24
"Kctd10",0,33.46,0,59.66,233.84,0,10.01,195.22,0,83.14,0,10.89,126.28,1.17,0,8.58,24.71,0,14.53,3.92,11.3,192.31,12.96,0,4.76,92.55,239.87,172.26,0,0,3.12,0,6.79,0,49.68,16.7,0,0,16.1,0,0,74.52,3.98,0,13.45,21.23,0.2,0,26.93,13.44,0,23.28,6.63,167.87,131.75,0,10.17,0,0,0,0,0,2.99,27.12,1.48,48.34,0.26,23.73,16.06,5.81,23.04,0,0,13.28,0,0,27.45,17.2
"Ift20",182.34,3.41,1.82,0,0,512.87,0,0,1.28,147.14,97.07,28.61,0,70.71,18.46,41.06,22.75,115.48,81.04,10.95,48.76,48.08,38.13,114.98,220.69,65.52,83.77,46.86,0,0,106.37,18.37,181,51.91,81.18,63.43,45.89,220.98,131.31,64.42,0.7,4.69,12.82,66.88,206.68,56.23,63.1,2.41,155.2,193.29,39,85.65,326.51,1.21,108.35,1.26,139.82,268.11,0,201.89,3.52,0,146.2,58.17,4.26,62.22,0,30.8,203.13,122.47,120.25,340.85,28.22,0,48.75,9.4,181.68,0.92
"Col6a1",179.26,0,1.1,45.13,118.43,136.22,0,0,50.79,102.2,67.29,0.21,159,0,84.49,168.24,256.08,238.79,234.6,97.42,0.52,13.54,0,331.56,0.4,759.96,0.19,100.49,0,733.18,0,0,376,0,98.87,0,377.38,0,0,0,14.18,0,68.24,36.09,187.93,0,3.67,73.52,0.11,31.7,0,0,0,102.66,266.6,0,79.02,0,0,0.13,0,1.06,0,4.7,0,0.16,0,0,0.18,0,80.98,12.17,13.55,0.73,0,22.68,164.8,0.46
"Pcbp3",0,0,53.89,0,7.69,0,0,0,0,0,0,0,0,48.64,0,39.99,0,0,0,0,0,0,0,0,0,16.94,0,0,7.54,17.89,0,12.63,0.41,0,0,0,0,0,0,0,32.18,337.15,0,0,0,0,0,0,119.56,0,0,1.52,21.8,0,0,7.14,0,0,0,0,0,0,0.34,0.42,0,0,0,0,0,0,0,0,0,0,0,0,1.85,10.28
"Lgals9",365.7,249.4,14.67,545.07,8.25,963.07,0,0.98,105.47,91.03,800.27,1277.04,0,919.36,419.52,7.03,235.36,432.08,738.8,313.03,648.05,0,4.43,649.51,34.2,784.83,2117.09,186.17,25.59,0,79.65,202.05,581.61,460.17,345.65,709.96,0,548.27,308.89,166.56,0,1164.32,684.41,391.96,258.25,416.89,151.8,0,770.83,875.12,79.83,243.96,446.58,300.09,1070.22,96.86,361.37,638.26,0,750.35,432.42,236.67,201.75,426.63,553.76,292.26,1046.1,7.21,891.81,335.28,582.19,685.38,545.06,119.49,273,422.81,531.95,0
"Araf",6.3,1.48,14.9,61.76,95.17,0.89,0,0,239.37,36.06,257.99,64.29,136.13,139.83,266.36,88.44,174.74,267.88,99.38,201.5,310.2,740.85,34.33,36.97,2.26,186.89,66.4,178.8,18.22,80.12,163.29,100.3,123.52,57.45,68.56,436.61,0.43,1.37,113.15,0,364.06,5.45,10.86,179.09,67.8,114.03,105.15,459.6,59.54,155.01,77.02,40.99,100.26,247.64,40.42,243.11,93.35,56.53,199.02,6.85,49.4,332.14,113.56,81.99,95.95,28.98,16.93,142.28,206.27,148.76,39.12,172.58,80.91,7.39,299.43,421.82,19.63,3.58
"Timp1",448.04,143.06,8.8,308.11,63.77,0,0,0,30.13,48.58,331.42,240.29,61.61,567.55,179.22,185.08,358.8,660.66,683.43,482.01,1828.86,318.26,165.89,236.25,423.32,781.21,17.37,726.88,85.12,238.7,105.8,22.21,877.66,172.54,478.77,425,0,230.25,179.25,294.29,37.87,1123.34,18.02,36.97,428.55,153.96,131.5,88.72,100.01,0,51.68,173.14,385.98,335.14,481.86,230.81,253.55,70.55,10.33,612.21,42.51,188.64,190.89,415.01,81.69,593.1,346.12,0,364.92,222.56,796.27,404.3,531.63,244.66,153.83,550.18,187.49,4
"Uxt",37.05,0,19.7,0,0,0,0,4.06,566.4,28.06,16.68,0,0,30,0,0,218.1,0,0,0,46.4,36.8,0,0,0,16.58,1.72,3.98,0,0,43.19,191.6,42.91,226.8,35.28,277.03,0,25.03,173.92,174.52,355.35,0,8.6,11.91,0,0,176.02,0,255.78,0,107.35,214.04,0,169.3,144.42,0,0,10.17,0,24.17,0,321.18,119.52,304.92,212.64,111.16,0,0,12.29,208.61,112.78,0,149.74,26.67,19.55,0,151.79,0
"Lman2l",1.09,2.36,0.65,1.17,3.47,0.68,23.16,1.18,0.47,0,1.16,0,1.94,0.7,1.69,0.65,0.98,1.16,23.68,0.52,79.75,1.2,0.29,2.93,0.37,1.46,155.54,0.47,6.16,17.14,1.48,29.65,11.91,0.73,4.32,10.44,1.54,1.02,119.92,36.93,2.34,6.49,2.4,4.47,4.47,4.3,54.34,4.85,10.31,10.59,3.05,4.45,3.32,2.54,0.65,0.63,1.69,7.25,20.94,4.39,4.64,1.05,99.89,34.12,63.2,4.18,2.14,3.69,48.9,7.13,11.39,2.86,1.98,3.7,11.74,79.92,5.63,2.82
"Mcm3ap",0,0,1.39,0.34,23.26,0,0.99,2.49,0,1.27,0,0,0,0,0,0,6.7,0,0,0.14,0.33,23.59,11.47,0,0,5.21,0,0,0,46.31,0,2.13,2.76,0.29,0,8.88,0,2.35,0,41.62,14.25,0,41.99,46.46,0.13,13.39,12.77,1.73,24.29,23.47,0,3.07,40.45,0,3.41,0,0,0.2,81,0.65,0,0,0.77,0,14.68,1.19,0.25,1.46,16.6,10.55,5.86,3.01,1.29,0,32.9,0,3.94,0.14
"Mxd1",0,1.25,0,497.29,12.7,93.13,377.99,480.03,0,0.29,0,0,0,22.11,0,0,0,0,0,0,0,50.67,65.99,0.28,17.25,0,0,0.13,43.8,17.14,9.93,0,39.01,0,0,0.17,52.8,0,0,0,13,0.14,0,9.72,0,0,4.41,0,0.1,22.96,46.66,0,0,1.17,0,0.11,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,91.08,46.64,11.97,8.51,1.6
